section,module,question,difficulty,domain,topic,teach_this_week,notes
Reading and Writing,Module 1,4,Medium,Craft and Structure,Text Structure and Purpose,no,Plan rank #6
Reading and Writing,Module 1,6,Hard,Craft and Structure,Text Structure and Purpose,no,Plan rank #6
Reading and Writing,Module 1,7,Hard,Craft and Structure,Cross-Text Connections,no,Smaller single miss (+18 bundle)
Reading and Writing,Module 1,8,Medium,Information and Ideas,Central Ideas and Details,no,Smaller single miss (+18 bundle)
Reading and Writing,Module 1,11,Easy,Information and Ideas,Command of Evidence,no,Plan rank #3; Danielle started self-practice
Reading and Writing,Module 1,20,Easy,Standard English Conventions,Form Structure and Sense,no,Plan rank #11
Reading and Writing,Module 1,21,Medium,Standard English Conventions,Form Structure and Sense,no,Plan rank #11
Reading and Writing,Module 1,24,Easy,Expression of Ideas,Transitions,yes,Covered week 2
Reading and Writing,Module 2,2,Medium,Craft and Structure,Words in Context,no,Plan rank #9
Reading and Writing,Module 2,5,Hard,Craft and Structure,Words in Context,no,Plan rank #9
Reading and Writing,Module 2,8,Hard,Craft and Structure,Text Structure and Purpose,no,Plan rank #6
Reading and Writing,Module 2,14,Hard,Information and Ideas,Command of Evidence,no,Plan rank #3
Reading and Writing,Module 2,15,Hard,Information and Ideas,Command of Evidence,no,Plan rank #3
Reading and Writing,Module 2,19,Hard,Standard English Conventions,Boundaries,no,Smaller single miss (+18 bundle)
Reading and Writing,Module 2,23,Medium,Expression of Ideas,Transitions,yes,Covered week 2
Reading and Writing,Module 2,24,Hard,Expression of Ideas,Transitions,yes,Covered week 2
Math,Module 1,1,Easy,Problem-Solving and Data Analysis,Two-variable data scatterplots,no,Smaller single miss (+18 bundle)
Math,Module 1,2,Easy,Geometry and Trigonometry,Area and volume,review,Plan rank #2
Math,Module 1,9,Medium,Advanced Math,Nonlinear functions,review,Plan rank #4; week 3
Math,Module 1,11,Medium,Advanced Math,Nonlinear equations in one variable,yes,Plan rank #5; week 3
Math,Module 1,13,Medium,Geometry and Trigonometry,Circles,no,Plan rank #8; week 4
Math,Module 1,21,Hard,Geometry and Trigonometry,Circles,no,Plan rank #8; week 4
Math,Module 2,2,Medium,Algebra,Linear functions,no,Foundation solid elsewhere
Math,Module 2,4,Medium,Advanced Math,Nonlinear equations in one variable,yes,Plan rank #5; week 3
Math,Module 2,11,Hard,Advanced Math,Equivalent expressions,yes,Continue EE until 95% medium
Math,Module 2,14,Medium,Geometry and Trigonometry,Area and volume,review,Plan rank #2
Math,Module 2,15,Hard,Algebra,Linear inequalities in one or two variables,no,Plan rank #10
Math,Module 2,16,Hard,Algebra,Linear equations in two variables,no,Plan rank #10
Math,Module 2,19,Hard,Geometry and Trigonometry,Area and volume,review,Plan rank #2
Math,Module 2,20,Hard,Advanced Math,Nonlinear functions,review,Plan rank #4; week 3
Math,Module 2,21,Hard,Problem-Solving and Data Analysis,Percentages,no,Plan rank #1 pacing
Math,Module 2,22,Hard,Problem-Solving and Data Analysis,Ratios rates proportional relationships,no,Plan rank #1 pacing
